"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","54990","7443","QUIC","1232","Initial, DCID=7a86f0504afa1e6f0558b4241bd24f89a05c4a67, SCID=b4372ca88d9c6a84004501562fda935ceea7acf2, PKN: 0, CRYPTO, PADDING"
"2","0.001550","7443","54990","QUIC","1284","Handshake, DCID=b4372ca88d9c6a84004501562fda935ceea7acf2, SCID=125dcb57"
"3","0.001670","7443","54990","QUIC","277","Protected Payload (KP0), DCID=b4372ca88d9c6a84004501562fda935ceea7acf2"
"4","0.017379","54990","7443","QUIC","1232","Protected Payload (KP0), DCID=125dcb57"
"5","0.017430","54990","7443","QUIC","1438","Protected Payload (KP0), DCID=125dcb57"
"6","0.017912","7443","54990","QUIC","88","Handshake, DCID=b4372ca88d9c6a84004501562fda935ceea7acf2, SCID=125dcb57"
"7","0.018097","7443","54990","QUIC","358","Protected Payload (KP0)"
"8","0.024698","54990","7443","QUIC","98","Protected Payload (KP0), DCID=125dcb57"
"9","0.025480","7443","54990","QUIC","149","Protected Payload (KP0)"
"10","0.027716","54990","7443","QUIC","1476","Protected Payload (KP0), DCID=125dcb57"
"11","0.027751","54990","7443","QUIC","99","Protected Payload (KP0), DCID=125dcb57"
"12","0.027893","7443","54990","QUIC","80","Protected Payload (KP0)"
"13","0.036768","54990","7443","QUIC","104","Protected Payload (KP0), DCID=125dcb57"
"14","0.037081","7443","54990","QUIC","149","Protected Payload (KP0)"
"15","0.056429","54990","7443","QUIC","60","Protected Payload (KP0), DCID=125dcb57"
"16","0.056664","7443","54990","QUIC","74","Protected Payload (KP0)"
"17","0.093130","54990","7443","QUIC","98","Protected Payload (KP0), DCID=125dcb57"
"18","0.093497","7443","54990","QUIC","1384","Protected Payload (KP0)"
"19","0.093706","7443","54990","QUIC","149","Protected Payload (KP0)"
"20","0.106954","54990","7443","QUIC","59","Protected Payload (KP0), DCID=125dcb57"
"21","0.107263","7443","54990","QUIC","74","Protected Payload (KP0)"
"22","0.126438","54990","7443","QUIC","58","Protected Payload (KP0), DCID=125dcb57"
