"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","23565","7443","TCP","56","","","","","23565  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000056","7443","23565","TCP","56","","","","","7443  >  23565 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000102","23565","7443","TCP","44","","","","","23565  >  7443 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.223344","23565","7443","TLSv1.3","561","","","","","Client Hello"
"5","0.223371","7443","23565","TCP","44","","","","","7443  >  23565 [ACK] Seq=1 Ack=518 Win=2619648 Len=0"
"6","0.223980","7443","23565","TLSv1.3","1480","","","","","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.224004","23565","7443","TCP","44","","","","","23565  >  7443 [ACK] Seq=518 Ack=1437 Win=2618112 Len=0"
"8","0.247333","23565","7443","TLSv1.3","108","","","","","Change Cipher Spec, Application Data"
"9","0.247366","7443","23565","TCP","44","","","","","7443  >  23565 [ACK] Seq=1437 Ack=582 Win=2619648 Len=0"
"10","0.258339","23565","7443","TLSv1.3","153","","","","","Application Data"
"11","0.258369","7443","23565","TCP","44","","","","","7443  >  23565 [ACK] Seq=1437 Ack=691 Win=2619392 Len=0"
"12","0.258620","7443","23565","TLSv1.3","266","","","","","Application Data"
"13","0.258641","23565","7443","TCP","44","","","","","23565  >  7443 [ACK] Seq=691 Ack=1659 Win=2618112 Len=0"
"14","0.270832","23565","7443","TLSv1.3","68","","","","","Application Data"
"15","0.270861","7443","23565","TCP","44","","","","","7443  >  23565 [ACK] Seq=1659 Ack=715 Win=2619392 Len=0"
"16","0.270945","23565","7443","TCP","44","","","","","23565  >  7443 [FIN, ACK] Seq=715 Ack=1659 Win=2618112 Len=0"
"17","0.270959","7443","23565","TCP","44","","","","","7443  >  23565 [ACK] Seq=1659 Ack=716 Win=2619392 Len=0"
"18","0.270981","7443","23565","TLSv1.3","68","","","","","Application Data"
"19","0.271002","23565","7443","TCP","44","","","","","23565  >  7443 [ACK] Seq=716 Ack=1683 Win=2618112 Len=0"
"20","0.271035","23565","7443","TCP","44","","","","","23565  >  7443 [RST, ACK] Seq=716 Ack=1683 Win=0 Len=0"
"21","0.271066","7443","23565","TCP","44","","","","","7443  >  23565 [FIN, ACK] Seq=1683 Ack=716 Win=2619392 Len=0"
"22","0.271098","23565","7443","TCP","44","","","","","23565  >  7443 [RST] Seq=716 Win=0 Len=0"
"23","0.293555","23566","7443","TCP","56","","","","","23566  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"24","0.293605","7443","23566","TCP","56","","","","","7443  >  23566 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"25","0.293637","23566","7443","TCP","44","","","","","23566  >  7443 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"26","0.511514","23566","7443","TLSv1.3","561","","","","","Client Hello"
"27","0.511545","7443","23566","TCP","44","","","","","7443  >  23566 [ACK] Seq=1 Ack=518 Win=2619648 Len=0"
"28","0.512043","7443","23566","TLSv1.3","1478","","","","","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"29","0.512065","23566","7443","TCP","44","","","","","23566  >  7443 [ACK] Seq=518 Ack=1435 Win=2618112 Len=0"
"30","0.540769","23566","7443","TLSv1.3","108","","","","","Change Cipher Spec, Application Data"
"31","0.540796","7443","23566","TCP","44","","","","","7443  >  23566 [ACK] Seq=1435 Ack=582 Win=2619648 Len=0"
"32","0.543158","23566","7443","TLSv1.3","153","","","","","Application Data"
"33","0.543175","7443","23566","TCP","44","","","","","7443  >  23566 [ACK] Seq=1435 Ack=691 Win=2619392 Len=0"
"34","0.543342","7443","23566","TLSv1.3","266","","","","","Application Data"
"35","0.543374","23566","7443","TCP","44","","","","","23566  >  7443 [ACK] Seq=691 Ack=1657 Win=2618112 Len=0"
"36","0.557945","23566","7443","TLSv1.3","68","","","","","Application Data"
"37","0.557973","7443","23566","TCP","44","","","","","7443  >  23566 [ACK] Seq=1657 Ack=715 Win=2619392 Len=0"
"38","0.558058","23566","7443","TCP","44","","","","","23566  >  7443 [FIN, ACK] Seq=715 Ack=1657 Win=2618112 Len=0"
"39","0.558069","7443","23566","TLSv1.3","68","","","","","Application Data"
"40","0.558090","23566","7443","TCP","44","","","","","23566  >  7443 [ACK] Seq=716 Ack=1681 Win=2618112 Len=0"
"41","0.558112","7443","23566","TCP","44","","","","","7443  >  23566 [ACK] Seq=1681 Ack=716 Win=2619392 Len=0"
"42","0.558120","23566","7443","TCP","44","","","","","23566  >  7443 [RST, ACK] Seq=716 Ack=1681 Win=0 Len=0"
