"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","23521","7443","TCP","56","","","","","23521  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000057","7443","23521","TCP","56","","","","","7443  >  23521 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000118","23521","7443","TCP","44","","","","","23521  >  7443 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.224881","23521","7443","TLSv1.3","561","","","","","Client Hello"
"5","0.224917","7443","23521","TCP","44","","","","","7443  >  23521 [ACK] Seq=1 Ack=518 Win=2619648 Len=0"
"6","0.225574","7443","23521","TLSv1.3","1479","","","","","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.225608","23521","7443","TCP","44","","","","","23521  >  7443 [ACK] Seq=518 Ack=1436 Win=2618112 Len=0"
"8","0.260861","23521","7443","TLSv1.3","108","","","","","Change Cipher Spec, Application Data"
"9","0.260887","7443","23521","TCP","44","","","","","7443  >  23521 [ACK] Seq=1436 Ack=582 Win=2619648 Len=0"
"10","0.263640","23521","7443","TLSv1.3","153","","","","","Application Data"
"11","0.263656","7443","23521","TCP","44","","","","","7443  >  23521 [ACK] Seq=1436 Ack=691 Win=2619392 Len=0"
"12","0.263920","7443","23521","TLSv1.3","266","","","","","Application Data"
"13","0.263938","23521","7443","TCP","44","","","","","23521  >  7443 [ACK] Seq=691 Ack=1658 Win=2618112 Len=0"
"14","0.278458","23521","7443","TLSv1.3","153","","","","","Application Data"
"15","0.278485","7443","23521","TCP","44","","","","","7443  >  23521 [ACK] Seq=1658 Ack=800 Win=2619392 Len=0"
"16","0.278655","7443","23521","TLSv1.3","266","","","","","Application Data"
"17","0.278679","23521","7443","TCP","44","","","","","23521  >  7443 [ACK] Seq=800 Ack=1880 Win=2617856 Len=0"
"18","0.284071","23521","7443","TLSv1.3","153","","","","","Application Data"
"19","0.284091","7443","23521","TCP","44","","","","","7443  >  23521 [ACK] Seq=1880 Ack=909 Win=2619392 Len=0"
"20","0.284271","7443","23521","TLSv1.3","266","","","","","Application Data"
"21","0.284290","23521","7443","TCP","44","","","","","23521  >  7443 [ACK] Seq=909 Ack=2102 Win=2617600 Len=0"
"22","0.294583","23521","7443","TLSv1.3","68","","","","","Application Data"
"23","0.294610","7443","23521","TCP","44","","","","","7443  >  23521 [ACK] Seq=2102 Ack=933 Win=2619136 Len=0"
"24","0.294689","23521","7443","TCP","44","","","","","23521  >  7443 [FIN, ACK] Seq=933 Ack=2102 Win=2617600 Len=0"
"25","0.294702","7443","23521","TLSv1.3","68","","","","","Application Data"
"26","0.294750","23521","7443","TCP","44","","","","","23521  >  7443 [ACK] Seq=934 Ack=2126 Win=2617600 Len=0"
"27","0.294755","7443","23521","TCP","44","","","","","7443  >  23521 [FIN, ACK] Seq=2126 Ack=934 Win=2619136 Len=0"
"28","0.294776","23521","7443","TCP","44","","","","","23521  >  7443 [RST] Seq=934 Win=0 Len=0"
"29","0.294801","23521","7443","TCP","44","","","","","23521  >  7443 [RST, ACK] Seq=934 Ack=2126 Win=0 Len=0"
