"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","23807","7443","TCP","56","","","","","23807  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000076","7443","23807","TCP","56","","","","","7443  >  23807 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000119","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.208371","23807","7443","TLSv1.3","561","","","","","Client Hello"
"5","0.208425","7443","23807","TCP","44","","","","","7443  >  23807 [ACK] Seq=1 Ack=518 Win=2619648 Len=0"
"6","0.212793","7443","23807","TLSv1.3","1478","","","","","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.212816","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=518 Ack=1435 Win=2618112 Len=0"
"8","0.236074","23807","7443","TLSv1.3","108","","","","","Change Cipher Spec, Application Data"
"9","0.236109","7443","23807","TCP","44","","","","","7443  >  23807 [ACK] Seq=1435 Ack=582 Win=2619648 Len=0"
"10","0.238884","23807","7443","TLSv1.3","153","","","","","Application Data"
"11","0.238915","7443","23807","TCP","44","","","","","7443  >  23807 [ACK] Seq=1435 Ack=691 Win=2619392 Len=0"
"12","0.305808","7443","23807","TLSv1.3","1252","","","","","Application Data"
"13","0.305844","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=2643 Win=2617088 Len=0"
"14","0.305869","7443","23807","TLSv1.3","2438","","","","","Application Data"
"15","0.305879","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=5037 Win=2614528 Len=0"
"16","0.305893","7443","23807","TLSv1.3","604","","","","","Application Data"
"17","0.305903","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=5597 Win=2614016 Len=0"
"18","0.305923","7443","23807","TLSv1.3","4810","","","","","Application Data"
"19","0.305937","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=10363 Win=2609408 Len=0"
"20","0.305953","7443","23807","TLSv1.3","5996","","","","","Application Data"
"21","0.305968","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=16315 Win=2603264 Len=0"
"22","0.305985","7443","23807","TLSv1.3","7182","","","","","Application Data"
"23","0.306000","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=23453 Win=2596096 Len=0"
"24","0.306025","7443","23807","TLSv1.3","8368","","","","","Application Data"
"25","0.306042","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=31777 Win=2587904 Len=0"
"26","0.306056","7443","23807","TLSv1.3","2865","","","","","Application Data"
"27","0.306066","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=34598 Win=2585088 Len=0"
"28","0.306105","7443","23807","TLSv1.3","10740","","","","","Application Data"
"29","0.306123","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=45294 Win=2574336 Len=0"
"30","0.306144","7443","23807","TLSv1.3","11926","","","","","Application Data"
"31","0.306161","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=57176 Win=2562560 Len=0"
"32","0.306177","7443","23807","TLSv1.3","10300","","","","","Application Data"
"33","0.306193","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=67432 Win=2552320 Len=0"
"34","0.306225","23807","7443","TCP","44","","","","","[TCP Window Update] 23807  >  7443 [ACK] Seq=691 Ack=67432 Win=2619648 Len=0"
"35","0.306227","7443","23807","TLSv1.3","14298","","","","","Application Data"
"36","0.306245","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=81686 Win=2605312 Len=0"
"37","0.306280","7443","23807","TLSv1.3","15484","","","","","Application Data"
"38","0.306301","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=97126 Win=2589952 Len=0"
"39","0.306315","7443","23807","TLSv1.3","3184","","","","","Application Data"
"40","0.306324","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=100266 Win=2586880 Len=0"
"41","0.306372","7443","23807","TLSv1.3","16450","","","","","Application Data"
"42","0.306393","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=116672 Win=2570496 Len=0"
"43","0.306411","7443","23807","TLSv1.3","16450","","","","","Application Data"
"44","0.306430","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=133078 Win=2554112 Len=0"
"45","0.306461","23807","7443","TCP","44","","","","","[TCP Window Update] 23807  >  7443 [ACK] Seq=691 Ack=133078 Win=2619648 Len=0"
"46","0.306464","7443","23807","TLSv1.3","16450","","","","","Application Data"
"47","0.306485","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=149484 Win=2603264 Len=0"
"48","0.306504","7443","23807","TLSv1.3","16450","","","","","Application Data"
"49","0.306524","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=165890 Win=2586880 Len=0"
"50","0.306671","7443","23807","TLSv1.3","16450","","","","","Application Data"
"51","0.306699","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=182296 Win=2570496 Len=0"
"52","0.306725","7443","23807","TLSv1.3","16450","","","","","Application Data"
"53","0.306746","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=198702 Win=2554112 Len=0"
"54","0.306767","23807","7443","TCP","44","","","","","[TCP Window Update] 23807  >  7443 [ACK] Seq=691 Ack=198702 Win=2619648 Len=0"
"55","0.306788","7443","23807","TLSv1.3","16450","","","","","Application Data"
"56","0.306809","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=215108 Win=2603264 Len=0"
"57","0.306828","7443","23807","TLSv1.3","16450","","","","","Application Data"
"58","0.306847","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=231514 Win=2586880 Len=0"
"59","0.306880","7443","23807","TLSv1.3","16450","","","","","Application Data"
"60","0.306901","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=247920 Win=2570496 Len=0"
"61","0.306919","7443","23807","TLSv1.3","16450","","","","","Application Data"
"62","0.306941","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=264326 Win=2554112 Len=0"
"63","0.306977","23807","7443","TCP","44","","","","","[TCP Window Update] 23807  >  7443 [ACK] Seq=691 Ack=264326 Win=2619648 Len=0"
"64","0.306978","7443","23807","TLSv1.3","16450","","","","","Application Data"
"65","0.307000","23807","7443","TCP","44","","","","","23807  >  7443 [ACK] Seq=691 Ack=280732 Win=2603264 Len=0"
