"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","24207","7443","TCP","56","","","","","24207  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000059","7443","24207","TCP","56","","","","","7443  >  24207 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000088","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.225582","24207","7443","TLSv1.3","561","","","","","Client Hello"
"5","0.225610","7443","24207","TCP","44","","","","","7443  >  24207 [ACK] Seq=1 Ack=518 Win=2619648 Len=0"
"6","0.226367","7443","24207","TLSv1.3","1479","","","","","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.226406","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=518 Ack=1436 Win=2618112 Len=0"
"8","0.244691","24207","7443","TLSv1.3","108","","","","","Change Cipher Spec, Application Data"
"9","0.244719","7443","24207","TCP","44","","","","","7443  >  24207 [ACK] Seq=1436 Ack=582 Win=2619648 Len=0"
"10","0.253005","24207","7443","TLSv1.3","153","","","","","Application Data"
"11","0.253039","7443","24207","TCP","44","","","","","7443  >  24207 [ACK] Seq=1436 Ack=691 Win=2619392 Len=0"
"12","0.320465","7443","24207","TLSv1.3","1252","","","","","Application Data"
"13","0.320498","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=691 Ack=2644 Win=2617088 Len=0"
"14","0.320525","7443","24207","TLSv1.3","2438","","","","","Application Data"
"15","0.320538","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=691 Ack=5038 Win=2614528 Len=0"
"16","0.320553","7443","24207","TLSv1.3","604","","","","","Application Data"
"17","0.320565","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=691 Ack=5598 Win=2614016 Len=0"
"18","0.320587","7443","24207","TLSv1.3","4810","","","","","Application Data"
"19","0.320601","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=691 Ack=10364 Win=2609408 Len=0"
"20","0.320627","7443","24207","TLSv1.3","5996","","","","","Application Data"
"21","0.320642","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=691 Ack=16316 Win=2603264 Len=0"
"22","0.320663","7443","24207","TLSv1.3","7182","","","","","Application Data"
"23","0.320680","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=691 Ack=23454 Win=2596096 Len=0"
"24","0.320707","7443","24207","TLSv1.3","8368","","","","","Application Data"
"25","0.320730","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=691 Ack=31778 Win=2587904 Len=0"
"26","0.320786","7443","24207","TLSv1.3","2865","","","","","Application Data"
"27","0.320799","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=691 Ack=34599 Win=2585088 Len=0"
"28","0.320841","7443","24207","TLSv1.3","10740","","","","","Application Data"
"29","0.320859","24207","7443","TCP","44","","","","","24207  >  7443 [ACK] Seq=691 Ack=45295 Win=2574336 Len=0"
"30","0.320879","7443","24207","TLSv1.3","11926","","","","","Application Data"
