"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","23758","7443","TCP","56","","","","","23758  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000067","7443","23758","TCP","56","","","","","7443  >  23758 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000182","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.227135","23758","7443","TLSv1.3","561","","","","","Client Hello"
"5","0.227164","7443","23758","TCP","44","","","","","7443  >  23758 [ACK] Seq=1 Ack=518 Win=2619648 Len=0"
"6","0.228905","7443","23758","TLSv1.3","1480","","","","","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.228934","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=518 Ack=1437 Win=2618112 Len=0"
"8","0.255947","23758","7443","TLSv1.3","108","","","","","Change Cipher Spec, Application Data"
"9","0.255974","7443","23758","TCP","44","","","","","7443  >  23758 [ACK] Seq=1437 Ack=582 Win=2619648 Len=0"
"10","0.258699","23758","7443","TLSv1.3","153","","","","","Application Data"
"11","0.258716","7443","23758","TCP","44","","","","","7443  >  23758 [ACK] Seq=1437 Ack=691 Win=2619392 Len=0"
"12","0.328170","7443","23758","TLSv1.3","1252","","","","","Application Data"
"13","0.328197","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=2645 Win=2617088 Len=0"
"14","0.328219","7443","23758","TLSv1.3","2438","","","","","Application Data"
"15","0.328232","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=5039 Win=2614528 Len=0"
"16","0.328246","7443","23758","TLSv1.3","604","","","","","Application Data"
"17","0.328258","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=5599 Win=2614016 Len=0"
"18","0.328278","7443","23758","TLSv1.3","4810","","","","","Application Data"
"19","0.328293","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=10365 Win=2609408 Len=0"
"20","0.328307","7443","23758","TLSv1.3","5996","","","","","Application Data"
"21","0.328322","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=16317 Win=2603264 Len=0"
"22","0.328339","7443","23758","TLSv1.3","7182","","","","","Application Data"
"23","0.328360","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=23455 Win=2596096 Len=0"
"24","0.328389","7443","23758","TLSv1.3","8368","","","","","Application Data"
"25","0.328406","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=31779 Win=2587904 Len=0"
"26","0.328419","7443","23758","TLSv1.3","2863","","","","","Application Data"
"27","0.328431","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=34598 Win=2585088 Len=0"
"28","0.328466","7443","23758","TLSv1.3","10740","","","","","Application Data"
"29","0.328482","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=45294 Win=2574336 Len=0"
"30","0.328507","7443","23758","TLSv1.3","11926","","","","","Application Data"
"31","0.328525","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=57176 Win=2562560 Len=0"
"32","0.328540","7443","23758","TLSv1.3","10300","","","","","Application Data"
"33","0.328556","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=67432 Win=2552320 Len=0"
"34","0.328578","23758","7443","TCP","44","","","","","[TCP Window Update] 23758  >  7443 [ACK] Seq=691 Ack=67432 Win=2619648 Len=0"
"35","0.328600","7443","23758","TLSv1.3","14298","","","","","Application Data"
"36","0.328621","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=81686 Win=2605312 Len=0"
"37","0.328650","7443","23758","TLSv1.3","15484","","","","","Application Data"
"38","0.328669","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=97126 Win=2589952 Len=0"
"39","0.328682","7443","23758","TLSv1.3","3184","","","","","Application Data"
"40","0.328693","23758","7443","TCP","44","","","","","23758  >  7443 [ACK] Seq=691 Ack=100266 Win=2586880 Len=0"
"41","0.328725","7443","23758","TLSv1.3","16450","","","","","Application Data"
