"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","24231","7443","TCP","56","","","","","24231  >  7443 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"2","0.000055","7443","24231","TCP","56","","","","","7443  >  24231 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"3","0.000164","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"4","0.209778","24231","7443","TLSv1.3","561","","","","","Client Hello"
"5","0.209807","7443","24231","TCP","44","","","","","7443  >  24231 [ACK] Seq=1 Ack=518 Win=2619648 Len=0"
"6","0.210452","7443","24231","TLSv1.3","1480","","","","","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.210482","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=518 Ack=1437 Win=2618112 Len=0"
"8","0.232916","24231","7443","TLSv1.3","108","","","","","Change Cipher Spec, Application Data"
"9","0.232943","7443","24231","TCP","44","","","","","7443  >  24231 [ACK] Seq=1437 Ack=582 Win=2619648 Len=0"
"10","0.235311","24231","7443","TLSv1.3","153","","","","","Application Data"
"11","0.235328","7443","24231","TCP","44","","","","","7443  >  24231 [ACK] Seq=1437 Ack=691 Win=2619392 Len=0"
"12","0.301252","7443","24231","TLSv1.3","1252","","","","","Application Data"
"13","0.301288","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=2645 Win=2617088 Len=0"
"14","0.301340","7443","24231","TLSv1.3","2438","","","","","Application Data"
"15","0.301355","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=5039 Win=2614528 Len=0"
"16","0.301370","7443","24231","TLSv1.3","604","","","","","Application Data"
"17","0.301381","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=5599 Win=2614016 Len=0"
"18","0.301403","7443","24231","TLSv1.3","4810","","","","","Application Data"
"19","0.301420","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=10365 Win=2609408 Len=0"
"20","0.301449","7443","24231","TLSv1.3","5996","","","","","Application Data"
"21","0.301474","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=16317 Win=2603264 Len=0"
"22","0.301514","7443","24231","TLSv1.3","7182","","","","","Application Data"
"23","0.301529","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=23455 Win=2596096 Len=0"
"24","0.301571","7443","24231","TLSv1.3","8368","","","","","Application Data"
"25","0.301592","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=31779 Win=2587904 Len=0"
"26","0.301612","7443","24231","TLSv1.3","2863","","","","","Application Data"
"27","0.301624","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=34598 Win=2585088 Len=0"
"28","0.301675","7443","24231","TLSv1.3","10740","","","","","Application Data"
"29","0.301694","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=45294 Win=2574336 Len=0"
"30","0.301724","7443","24231","TLSv1.3","11926","","","","","Application Data"
"31","0.301742","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=57176 Win=2562560 Len=0"
"32","0.301766","7443","24231","TLSv1.3","10300","","","","","Application Data"
"33","0.301783","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=67432 Win=2552320 Len=0"
"34","0.301814","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=67432 Win=2619648 Len=0"
"35","0.301865","7443","24231","TLSv1.3","14298","","","","","Application Data"
"36","0.301887","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=81686 Win=2605312 Len=0"
"37","0.301922","7443","24231","TLSv1.3","15484","","","","","Application Data"
"38","0.301950","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=97126 Win=2589952 Len=0"
"39","0.301966","7443","24231","TLSv1.3","3184","","","","","Application Data"
"40","0.301982","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=100266 Win=2586880 Len=0"
"41","0.302022","7443","24231","TLSv1.3","16450","","","","","Application Data"
"42","0.302044","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=116672 Win=2570496 Len=0"
"43","0.302062","7443","24231","TLSv1.3","16450","","","","","Application Data"
"44","0.302081","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=133078 Win=2554112 Len=0"
"45","0.302111","7443","24231","TLSv1.3","16450","","","","","Application Data"
"46","0.302132","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=149484 Win=2537728 Len=0"
"47","0.302159","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=149484 Win=2603264 Len=0"
"48","0.302171","7443","24231","TLSv1.3","16450","","","","","Application Data"
"49","0.302212","7443","24231","TLSv1.3","16450","","","","","Application Data"
"50","0.302226","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=165890 Win=2586880 Len=0"
"51","0.302230","7443","24231","TLSv1.3","16450","","","","","Application Data"
"52","0.302271","7443","24231","TLSv1.3","16450","","","","","Application Data"
"53","0.302284","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=198702 Win=2554112 Len=0"
"54","0.302303","7443","24231","TLSv1.3","16450","","","","","Application Data"
"55","0.302312","24231","7443","TCP","44","","","","","[TCP Window Update] 24231  >  7443 [ACK] Seq=691 Ack=198702 Win=2619648 Len=0"
"56","0.302314","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=215108 Win=2603264 Len=0"
"57","0.302331","7443","24231","TLSv1.3","16450","","","","","Application Data"
"58","0.302349","24231","7443","TCP","44","","","","","24231  >  7443 [ACK] Seq=691 Ack=231514 Win=2586880 Len=0"
"59","0.302388","7443","24231","TLSv1.3","16450","","","","","Application Data"
"60","0.302408","7443","24231","TLSv1.3","16450","","","","","Application Data"
