"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","61805","7443","QUIC","1232","Initial","Long Header","0","0","Initial, DCID=f94b75779393144c02e6eebdf4e294495fe64bd6, SCID=e17378e818eaafa95ededf01f0fd8e7564c181a8, PKN: 0, CRYPTO, PADDING"
"2","0.001929","7443","61805","QUIC","1284","Initial,Handshake","Long Header,Long Header","0","0","Handshake, DCID=e17378e818eaafa95ededf01f0fd8e7564c181a8, SCID=070c6db3"
"3","0.002005","7443","61805","QUIC","292","Handshake","Long Header,Short Header","0","0","Protected Payload (KP0), DCID=e17378e818eaafa95ededf01f0fd8e7564c181a8"
"4","0.006672","61805","7443","QUIC","1232","Initial,Handshake","Long Header,Long Header,Short Header","0","0","Protected Payload (KP0), DCID=070c6db3"
"5","0.006720","61805","7443","QUIC","1438","","Short Header","0","0","Protected Payload (KP0), DCID=070c6db3"
"6","0.007005","7443","61805","QUIC","88","Handshake","Long Header","0","0","Handshake, DCID=e17378e818eaafa95ededf01f0fd8e7564c181a8, SCID=070c6db3"
"7","0.007085","7443","61805","QUIC","76","","Short Header","0","0","Protected Payload (KP0), DCID=e17378e818eaafa95ededf01f0fd8e7564c181a8"
"8","0.007117","7443","61805","QUIC","353","","Short Header","","0","Protected Payload (KP0)"
"9","0.010205","61805","7443","QUIC","98","","Short Header","0","0","Protected Payload (KP0), DCID=070c6db3"
"10","0.010619","7443","61805","QUIC","149","","Short Header","","0","Protected Payload (KP0)"
"11","0.011476","61805","7443","QUIC","1476","","Short Header","0","0","Protected Payload (KP0), DCID=070c6db3"
"12","0.011505","61805","7443","QUIC","99","","Short Header","0","0","Protected Payload (KP0), DCID=070c6db3"
"13","0.011631","7443","61805","QUIC","79","","Short Header","","0","Protected Payload (KP0)"
"14","0.013366","61805","7443","QUIC","58","","Short Header","0","0","Protected Payload (KP0), DCID=070c6db3"
"15","0.041597","61806","7443","QUIC","1232","Initial","Long Header","1","1","Initial, DCID=d7fb60cbe8735f322a56373f286a25a5bfe8cc53, SCID=02992fc64828778649c7fa6e6c767def55d305d2, PKN: 0, CRYPTO, PADDING"
"16","0.042436","7443","61806","QUIC","1284","Initial,Handshake","Long Header,Long Header","1","1","Handshake, DCID=02992fc64828778649c7fa6e6c767def55d305d2, SCID=176f9ec3"
"17","0.042524","7443","61806","QUIC","282","Handshake","Long Header,Short Header","1","1","Protected Payload (KP0), DCID=02992fc64828778649c7fa6e6c767def55d305d2"
"18","0.046032","61806","7443","QUIC","1232","Initial,Handshake","Long Header,Long Header,Short Header","1","1","Protected Payload (KP0), DCID=176f9ec3"
"19","0.046074","61806","7443","QUIC","1438","","Short Header","1","1","Protected Payload (KP0), DCID=176f9ec3"
"20","0.046304","7443","61806","QUIC","88","Handshake","Long Header","1","1","Handshake, DCID=02992fc64828778649c7fa6e6c767def55d305d2, SCID=176f9ec3"
"21","0.046360","7443","61806","QUIC","77","","Short Header","1","1","Protected Payload (KP0), DCID=02992fc64828778649c7fa6e6c767def55d305d2"
"22","0.046446","7443","61806","QUIC","353","","Short Header","","1","Protected Payload (KP0)"
"23","0.052924","61806","7443","QUIC","189","Handshake","Long Header,Short Header","1","1","Protected Payload (KP0), DCID=176f9ec3"
"24","0.053170","7443","61806","QUIC","1384","","Short Header","","1","Protected Payload (KP0)"
"25","0.053375","7443","61806","QUIC","148","","Short Header","","1","Protected Payload (KP0)"
"26","0.054397","61806","7443","QUIC","1476","","Short Header","1","1","Protected Payload (KP0), DCID=176f9ec3"
"27","0.054436","61806","7443","QUIC","99","","Short Header","1","1","Protected Payload (KP0), DCID=176f9ec3"
"28","0.054603","7443","61806","QUIC","80","","Short Header","","1","Protected Payload (KP0)"
"29","0.056298","61806","7443","QUIC","58","","Short Header","1","1","Protected Payload (KP0), DCID=176f9ec3"
"30","0.083792","61807","7443","QUIC","1232","Initial","Long Header","2","2","Initial, DCID=7c6325a86f23708b297779f100d648f26962bf0e, SCID=a80d3911485f012eb567886a318761221737d3d5, PKN: 0, CRYPTO, PADDING"
"31","0.085334","7443","61807","QUIC","1284","Initial,Handshake","Long Header,Long Header","2","2","Handshake, DCID=a80d3911485f012eb567886a318761221737d3d5, SCID=6def9421"
"32","0.085444","7443","61807","QUIC","291","Handshake","Long Header,Short Header","2","2","Protected Payload (KP0), DCID=a80d3911485f012eb567886a318761221737d3d5"
"33","0.088996","61807","7443","QUIC","1232","Initial,Handshake","Long Header,Long Header,Short Header","2","2","Protected Payload (KP0), DCID=6def9421"
"34","0.089039","61807","7443","QUIC","1438","","Short Header","2","2","Protected Payload (KP0), DCID=6def9421"
"35","0.089302","7443","61807","QUIC","88","Handshake","Long Header","2","2","Handshake, DCID=a80d3911485f012eb567886a318761221737d3d5, SCID=6def9421"
"36","0.089408","7443","61807","QUIC","359","","Short Header","","2","Protected Payload (KP0)"
"37","0.092056","61807","7443","QUIC","98","","Short Header","2","2","Protected Payload (KP0), DCID=6def9421"
"38","0.092193","7443","61807","QUIC","77","","Short Header","","2","Protected Payload (KP0)"
"39","0.092325","7443","61807","QUIC","143","","Short Header","","2","Protected Payload (KP0)"
"40","0.093233","61807","7443","QUIC","1476","","Short Header","2","2","Protected Payload (KP0), DCID=6def9421"
"41","0.093260","61807","7443","QUIC","99","","Short Header","2","2","Protected Payload (KP0), DCID=6def9421"
"42","0.093396","7443","61807","QUIC","80","","Short Header","","2","Protected Payload (KP0)"
"43","0.098663","61807","7443","QUIC","58","","Short Header","2","2","Protected Payload (KP0), DCID=6def9421"
