"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","56802","7443","QUIC","1232","Initial","Long Header","0","0","Initial, DCID=2c20e202825e235de9ec5b06a9c215070218fae4, SCID=37909a19412f42b90f54715a92c933dcd7c8999c, PKN: 0, CRYPTO, PADDING"
"2","0.001198","7443","56802","QUIC","1284","Initial,Handshake","Long Header,Long Header","0","0","Handshake, DCID=37909a19412f42b90f54715a92c933dcd7c8999c, SCID=a8d6dc98"
"3","0.001304","7443","56802","QUIC","279","Handshake","Long Header,Short Header","0","0","Protected Payload (KP0), DCID=37909a19412f42b90f54715a92c933dcd7c8999c"
"4","0.004719","56802","7443","QUIC","1232","Initial,Handshake","Long Header,Long Header,Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"5","0.004759","56802","7443","QUIC","1438","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"6","0.005021","7443","56802","QUIC","88","Handshake","Long Header","0","0","Handshake, DCID=37909a19412f42b90f54715a92c933dcd7c8999c, SCID=a8d6dc98"
"7","0.005085","7443","56802","QUIC","76","","Short Header","0","0","Protected Payload (KP0), DCID=37909a19412f42b90f54715a92c933dcd7c8999c"
"8","0.005173","7443","56802","QUIC","353","","Short Header","","0","Protected Payload (KP0)"
"9","0.007836","56802","7443","QUIC","98","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"10","0.009436","56802","7443","QUIC","1476","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"11","0.009497","56802","7443","QUIC","99","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"12","0.009708","7443","56802","QUIC","77","","Short Header","","0","Protected Payload (KP0)"
"13","0.078781","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"14","0.078861","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"15","0.078918","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"16","0.078968","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"17","0.079015","7443","56802","QUIC","542","","Short Header","","0","Protected Payload (KP0)"
"18","0.079084","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"19","0.079106","56802","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"20","0.079153","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"21","0.079205","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"22","0.079252","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"23","0.079315","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"24","0.079390","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"25","0.079469","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"26","0.079518","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"27","0.079562","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"28","0.079612","7443","56802","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"29","0.079651","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"30","0.079709","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"31","0.079770","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"32","0.079826","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"33","0.079881","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"34","0.079930","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"35","0.079967","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"36","0.080005","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"37","0.080059","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"38","0.080099","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"39","0.080148","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"40","0.080203","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"41","0.080250","7443","56802","QUIC","1037","","Short Header","","0","Protected Payload (KP0)"
"42","0.080303","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"43","0.080364","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"44","0.080406","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"45","0.080432","7443","56802","QUIC","252","","Short Header","","0","Protected Payload (KP0)"
"46","0.080452","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"47","0.080475","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"48","0.080495","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"49","0.080515","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"50","0.080537","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"51","0.081976","56802","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"52","0.082126","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"53","0.082174","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"54","0.082221","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"55","0.082236","56802","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"56","0.082289","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"57","0.082337","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"58","0.082351","56802","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"59","0.082397","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"60","0.082449","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"61","0.082467","56802","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"62","0.082517","56802","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"63","0.082531","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"64","0.082554","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"65","0.082611","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"66","0.082649","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"67","0.082670","56802","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"68","0.082690","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"69","0.082721","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"70","0.082794","56802","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"71","0.082810","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"72","0.082816","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"73","0.082851","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"74","0.082872","7443","56802","QUIC","1312","","Short Header","","0","Protected Payload (KP0)"
"75","0.082891","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"76","0.082914","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"77","0.082935","56802","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"78","0.082985","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"79","0.083036","7443","56802","QUIC","258","","Short Header","","0","Protected Payload (KP0)"
"80","0.083051","56802","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"81","0.083097","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"82","0.083148","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"83","0.083165","56802","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"84","0.083210","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"85","0.083255","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"86","0.083279","56802","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"87","0.083335","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"88","0.083379","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"89","0.083428","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"90","0.083445","56802","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"91","0.083503","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"92","0.083537","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"93","0.083575","56802","7443","QUIC","61","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"94","0.083628","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"95","0.083681","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"96","0.083726","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"97","0.083740","56802","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"98","0.083791","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"99","0.083834","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"100","0.083870","56802","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"101","0.083887","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"102","0.083933","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"103","0.083984","56802","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
"104","0.084001","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"105","0.084058","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"106","0.084066","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"107","0.084091","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"108","0.084099","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"109","0.084121","7443","56802","QUIC","1318","","Short Header","","0","Protected Payload (KP0)"
"110","0.084140","7443","56802","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"111","0.084178","56802","7443","QUIC","61","","Short Header","0","0","Protected Payload (KP0), DCID=a8d6dc98"
