"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","50730","7443","QUIC","1232","Initial","Long Header","0","0","Initial, DCID=8355d0ac5529c65e7d3a88a8663a56679c2d80fd, SCID=30c25f28937af3babd65e73eaea73c63ec3cd465, PKN: 0, CRYPTO, PADDING"
"2","0.001250","7443","50730","QUIC","1284","Initial,Handshake","Long Header,Long Header","0","0","Handshake, DCID=30c25f28937af3babd65e73eaea73c63ec3cd465, SCID=86c51ca6"
"3","0.001349","7443","50730","QUIC","293","Handshake","Long Header,Short Header","0","0","Protected Payload (KP0), DCID=30c25f28937af3babd65e73eaea73c63ec3cd465"
"4","0.004853","50730","7443","QUIC","1232","Initial,Handshake","Long Header,Long Header,Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"5","0.004901","50730","7443","QUIC","1438","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"6","0.005240","7443","50730","QUIC","88","Handshake","Long Header","0","0","Handshake, DCID=30c25f28937af3babd65e73eaea73c63ec3cd465, SCID=86c51ca6"
"7","0.005390","7443","50730","QUIC","76","","Short Header","0","0","Protected Payload (KP0), DCID=30c25f28937af3babd65e73eaea73c63ec3cd465"
"8","0.005495","7443","50730","QUIC","353","","Short Header","","0","Protected Payload (KP0)"
"9","0.011197","50730","7443","QUIC","98","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"10","0.013165","50730","7443","QUIC","1476","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"11","0.013212","50730","7443","QUIC","99","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"12","0.013363","7443","50730","QUIC","76","","Short Header","","0","Protected Payload (KP0)"
"13","0.074433","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"14","0.074569","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"15","0.074625","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"16","0.074689","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"17","0.074746","7443","50730","QUIC","542","","Short Header","","0","Protected Payload (KP0)"
"18","0.074770","50730","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"19","0.074790","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"20","0.074823","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"21","0.074874","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"22","0.074929","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"23","0.074980","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"24","0.075031","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"25","0.075082","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"26","0.075133","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"27","0.075183","7443","50730","QUIC","1284","","Short Header","","0","Protected Payload (KP0)"
"28","0.075206","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"29","0.075227","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"30","0.075246","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"31","0.075265","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"32","0.075283","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"33","0.078780","50730","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"34","0.078933","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"35","0.078994","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"36","0.079047","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"37","0.079074","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"38","0.079117","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"39","0.079169","50730","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"40","0.079186","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"41","0.079190","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"42","0.079223","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"43","0.079229","7443","50730","QUIC","937","","Short Header","","0","Protected Payload (KP0)"
"44","0.079243","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"45","0.079264","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"46","0.079278","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"47","0.079297","7443","50730","QUIC","252","","Short Header","","0","Protected Payload (KP0)"
"48","0.079303","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"49","0.079324","50730","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"50","0.079346","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"51","0.079429","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"52","0.079482","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"53","0.079495","50730","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"54","0.079545","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"55","0.079592","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"56","0.079610","50730","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"57","0.079642","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"58","0.079664","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"59","0.079703","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"60","0.079722","50730","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"61","0.079744","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"62","0.079772","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"63","0.079795","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"64","0.079846","50730","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"65","0.079876","50730","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"66","0.079928","7443","50730","QUIC","76","","Short Header","","0","Protected Payload (KP0)"
"67","0.083466","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"68","0.083541","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"69","0.083600","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"70","0.083656","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"71","0.083675","50730","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=86c51ca6"
"72","0.083785","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"73","0.083832","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"74","0.083883","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"75","0.083969","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"76","0.084076","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"77","0.084138","7443","50730","QUIC","1312","","Short Header","","0","Protected Payload (KP0)"
"78","0.084193","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"79","0.084274","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"80","0.084346","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"81","0.084403","7443","50730","QUIC","252","","Short Header","","0","Protected Payload (KP0)"
"82","0.084460","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"83","0.084573","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"84","0.084637","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"85","0.084697","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"86","0.084736","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"87","0.084798","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"88","0.084912","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"89","0.084966","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"90","0.085084","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"91","0.085123","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"92","0.085216","7443","50730","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
