"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","61036","7443","QUIC","1232","Initial","Long Header","0","0","Initial, DCID=7a739199d9972adbe3b31da74fdde4548b744ea2, SCID=31775214b68659889dadf1dd1d87a5365ab25532, PKN: 0, CRYPTO, PADDING"
"2","0.001410","7443","61036","QUIC","1284","Initial,Handshake","Long Header,Long Header","0","0","Handshake, DCID=31775214b68659889dadf1dd1d87a5365ab25532, SCID=b5e77d80"
"3","0.001516","7443","61036","QUIC","278","Handshake","Long Header,Short Header","0","0","Protected Payload (KP0), DCID=31775214b68659889dadf1dd1d87a5365ab25532"
"4","0.004928","61036","7443","QUIC","1232","Initial,Handshake","Long Header,Long Header,Short Header","0","0","Protected Payload (KP0), DCID=b5e77d80"
"5","0.004969","61036","7443","QUIC","1438","","Short Header","0","0","Protected Payload (KP0), DCID=b5e77d80"
"6","0.005243","7443","61036","QUIC","88","Handshake","Long Header","0","0","Handshake, DCID=31775214b68659889dadf1dd1d87a5365ab25532, SCID=b5e77d80"
"7","0.005313","7443","61036","QUIC","359","","Short Header","","0","Protected Payload (KP0)"
"8","0.008226","61036","7443","QUIC","98","","Short Header","0","0","Protected Payload (KP0), DCID=b5e77d80"
"9","0.015080","61036","7443","QUIC","1476","","Short Header","0","0","Protected Payload (KP0), DCID=b5e77d80"
"10","0.015195","61036","7443","QUIC","94","","Short Header","0","0","Protected Payload (KP0), DCID=b5e77d80"
"11","0.015311","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"12","0.015363","7443","61036","QUIC","76","","Short Header","","0","Protected Payload (KP0)"
"13","0.015521","61036","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=b5e77d80"
"14","0.017288","61036","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=b5e77d80"
"15","0.077942","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"16","0.078021","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"17","0.078084","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"18","0.078159","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"19","0.078197","61036","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=b5e77d80"
"20","0.078214","7443","61036","QUIC","242","","Short Header","","0","Protected Payload (KP0)"
"21","0.078264","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"22","0.078343","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"23","0.078422","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"24","0.078478","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"25","0.078536","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"26","0.078590","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"27","0.078645","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"28","0.078694","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"29","0.078739","7443","61036","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"30","0.078775","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"31","0.078821","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"32","0.078864","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"33","0.078909","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"34","0.078957","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"35","0.078987","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"36","0.079034","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"37","0.079084","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"38","0.079131","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"39","0.079174","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"40","0.079220","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"41","0.079258","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"42","0.079307","7443","61036","QUIC","743","","Short Header","","0","Protected Payload (KP0)"
"43","0.079334","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"44","0.079375","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"45","0.079399","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"46","0.079426","7443","61036","QUIC","102","","Short Header","","0","Protected Payload (KP0)"
"47","0.079446","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"48","0.079466","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"49","0.079493","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"50","0.079515","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"51","0.081361","61036","7443","QUIC","60","","Short Header","0","0","Protected Payload (KP0), DCID=b5e77d80"
"52","0.081530","7443","61036","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
