"No.","Time","Source","Destination","Protocol","Length","Packet Type","Header Form","Connection Number","Stream index","Info"
"1","0.000000","65388","7443","QUIC","1232","Initial","Long Header","0","0","Initial, DCID=1b07270f9da64061744f7b587c78036540f5780b, SCID=1e8d2dbd48b707d71ed50ed89e8dc5123f1524fc, PKN: 0, CRYPTO, PADDING"
"2","0.001201","7443","65388","QUIC","1284","Initial,Handshake","Long Header,Long Header","0","0","Handshake, DCID=1e8d2dbd48b707d71ed50ed89e8dc5123f1524fc, SCID=6621fba3"
"3","0.001321","7443","65388","QUIC","292","Handshake","Long Header,Short Header","0","0","Protected Payload (KP0), DCID=1e8d2dbd48b707d71ed50ed89e8dc5123f1524fc"
"4","0.004882","65388","7443","QUIC","1232","Initial,Handshake","Long Header,Long Header,Short Header","0","0","Protected Payload (KP0), DCID=6621fba3"
"5","0.004933","65388","7443","QUIC","1438","","Short Header","0","0","Protected Payload (KP0), DCID=6621fba3"
"6","0.005196","7443","65388","QUIC","88","Handshake","Long Header","0","0","Handshake, DCID=1e8d2dbd48b707d71ed50ed89e8dc5123f1524fc, SCID=6621fba3"
"7","0.005257","7443","65388","QUIC","76","","Short Header","0","0","Protected Payload (KP0), DCID=1e8d2dbd48b707d71ed50ed89e8dc5123f1524fc"
"8","0.005371","7443","65388","QUIC","353","","Short Header","","0","Protected Payload (KP0)"
"9","0.008111","65388","7443","QUIC","98","","Short Header","0","0","Protected Payload (KP0), DCID=6621fba3"
"10","0.010152","65388","7443","QUIC","1476","","Short Header","0","0","Protected Payload (KP0), DCID=6621fba3"
"11","0.010210","65388","7443","QUIC","99","","Short Header","0","0","Protected Payload (KP0), DCID=6621fba3"
"12","0.010297","7443","65388","QUIC","76","","Short Header","","0","Protected Payload (KP0)"
"13","0.041670","7443","65388","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
"14","0.041876","7443","65388","QUIC","77","","Short Header","","0","Protected Payload (KP0)"
"15","0.042218","65388","7443","QUIC","59","","Short Header","0","0","Protected Payload (KP0), DCID=6621fba3"
"16","0.074092","7443","65388","QUIC","1434","","Short Header","","0","Protected Payload (KP0)"
"17","0.074274","7443","65388","QUIC","1384","","Short Header","","0","Protected Payload (KP0)"
